fecha,Price,Open,High,Low,Vol.
12/30/2005,61.04,60.39,61.25,59.73,72.71
12/29/2005,60.32,59.89,60.85,59.40,64.92
12/28/2005,59.82,58.19,60.45,57.76,87.69
12/27/2005,58.16,58.30,58.30,57.30,55.48
12/23/2005,58.43,58.26,58.75,57.65,37.52
12/22/2005,58.28,58.60,59.29,57.72,60.47
12/21/2005,58.56,58.30,58.70,57.55,84.51
12/20/2005,57.98,57.30,58.20,57.30,36.14
12/19/2005,57.34,58.00,58.59,56.90,74.14
12/16/2005,58.06,59.90,60.09,58.00,91.10
12/15/2005,59.99,60.85,61.20,59.95,100.83
12/14/2005,60.85,61.28,61.75,60.80,84.31
12/13/2005,61.37,61.29,61.90,60.76,102.19
12/12/2005,61.30,59.51,61.35,59.50,113.72
12/09/2005,59.39,60.76,61.50,59.03,123.43
12/08/2005,60.66,59.35,60.70,59.05,104.85
12/07/2005,59.21,60.01,60.68,59.11,129.03
12/06/2005,59.94,59.77,60.45,59.55,80.40
12/05/2005,59.91,59.41,60.80,59.41,106.59
12/02/2005,59.32,58.47,59.55,58.15,114.72
12/01/2005,58.47,57.40,58.80,57.02,112.88
11/30/2005,57.32,56.35,57.40,55.72,131.18
11/29/2005,56.50,57.31,57.75,56.45,98.13
11/28/2005,57.36,58.11,58.30,56.70,98.71
11/23/2005,58.71,58.75,59.15,57.95,87.14
11/22/2005,58.84,57.80,59.00,57.55,81.62
11/21/2005,57.70,57.42,58.18,57.10,68.60
11/18/2005,56.14,56.54,56.80,55.40,38.31
11/17/2005,56.34,57.82,58.52,56.20,90.17
11/16/2005,57.88,56.98,58.25,56.70,81.91
11/15/2005,56.98,57.72,58.40,56.90,102.69
11/14/2005,57.69,57.80,58.20,57.35,68.82
11/11/2005,57.53,57.77,58.20,56.93,100.71
11/10/2005,57.80,58.80,58.96,57.40,104.74
11/09/2005,58.93,59.70,60.40,58.60,133.27
11/08/2005,59.71,59.47,59.85,58.90,99.62
11/07/2005,59.47,60.11,60.44,58.60,126.39
11/04/2005,60.58,61.75,62.15,60.50,92.74
11/03/2005,61.78,59.70,61.85,59.56,100.01
11/02/2005,59.75,59.90,60.40,58.75,97.86
11/01/2005,59.85,59.76,60.30,59.05,95.97
10/31/2005,59.76,61.20,61.39,59.27,103.82
10/28/2005,61.22,61.10,61.48,60.55,89.73
10/27/2005,61.09,60.88,61.50,60.25,99.58
10/26/2005,60.66,62.30,62.95,60.60,109.99
10/25/2005,62.44,60.23,62.55,59.98,101.67
10/24/2005,60.32,60.06,60.50,59.30,78.77
10/21/2005,60.63,59.85,60.70,59.15,103.72
10/20/2005,61.03,62.30,62.44,59.85,33.83
10/19/2005,62.41,63.00,63.59,61.31,74.30
10/18/2005,63.20,64.10,64.28,62.70,65.96
10/17/2005,64.36,62.95,64.40,62.72,73.28
10/14/2005,62.63,63.05,63.10,61.20,79.49
10/13/2005,63.08,64.15,64.39,62.45,110.80
10/12/2005,64.12,63.59,64.70,63.40,128.61
10/11/2005,63.53,62.02,63.60,61.88,121.48
10/10/2005,61.80,61.79,62.44,60.35,100.05
10/07/2005,61.84,61.60,62.23,61.10,90.34
10/06/2005,61.36,62.72,62.83,60.70,116.50
10/05/2005,62.79,63.81,64.80,62.60,87.28
10/04/2005,63.90,65.40,65.49,63.00,94.28
10/03/2005,65.47,66.20,66.62,64.99,69.18
09/30/2005,66.24,66.79,67.03,65.30,114.73
09/29/2005,66.79,66.34,67.20,65.52,121.35
09/28/2005,66.35,64.94,67.40,64.60,125.18
09/27/2005,65.07,65.70,66.17,64.60,82.21
09/26/2005,65.82,63.44,65.90,62.65,108.14
09/23/2005,64.19,66.58,66.80,63.85,96.32
09/22/2005,66.50,66.85,68.14,66.05,93.00
09/21/2005,66.80,66.22,68.27,66.15,108.75
09/20/2005,66.23,67.24,67.38,64.80,44.50
09/19/2005,67.39,63.39,67.50,63.20,85.07
09/16/2005,63.00,64.70,64.70,62.85,89.33
09/15/2005,64.75,65.05,65.66,63.90,111.66
09/14/2005,65.09,63.09,65.20,63.05,116.78
09/13/2005,63.11,63.31,63.85,62.65,110.40
09/12/2005,63.34,64.15,64.41,62.55,109.14
09/09/2005,64.08,64.67,65.35,63.55,104.98
09/08/2005,64.49,64.44,65.15,63.10,123.33
09/07/2005,64.37,65.83,66.50,63.90,116.13
09/06/2005,65.96,66.60,67.56,65.65,112.85
09/02/2005,67.57,69.40,69.66,67.35,97.74
09/01/2005,69.47,68.75,69.60,68.25,102.65
08/31/2005,68.94,69.95,70.65,67.80,143.72
08/30/2005,69.81,67.40,70.85,67.26,178.30
08/29/2005,67.20,68.60,70.80,66.30,151.04
08/26/2005,66.13,67.50,67.95,65.90,92.78
08/25/2005,67.49,67.41,68.00,66.40,78.80
08/24/2005,67.32,65.79,67.40,65.30,98.72
08/23/2005,65.71,65.56,66.20,64.65,83.18
08/22/2005,65.45,65.40,66.25,65.00,38.94
08/19/2005,65.35,63.30,65.50,63.30,81.60
08/18/2005,63.27,63.33,63.77,62.25,66.19
08/17/2005,63.25,66.14,66.60,63.15,121.22
08/16/2005,66.08,66.26,66.85,65.50,108.87
08/15/2005,66.27,66.85,67.00,65.35,84.42
08/12/2005,66.86,65.82,67.10,65.60,121.67
08/11/2005,65.80,64.95,66.00,64.42,124.63
08/10/2005,64.90,63.12,65.00,62.91,138.32
08/09/2005,63.07,63.91,64.27,63.00,113.87
08/08/2005,63.94,62.31,64.00,62.21,117.47
08/05/2005,62.31,61.42,62.45,61.42,103.86
08/04/2005,61.38,60.78,62.10,60.60,83.42
08/03/2005,60.86,61.94,62.50,60.80,107.88
08/02/2005,61.89,61.59,61.95,60.87,84.88
08/01/2005,61.57,60.51,62.30,60.51,104.28
07/29/2005,60.57,59.93,61.05,59.81,100.66
07/28/2005,59.94,59.21,60.15,58.80,83.72
07/27/2005,59.11,59.15,59.70,58.60,93.28
07/26/2005,59.20,59.10,59.88,58.50,86.85
07/25/2005,59.00,58.75,59.07,57.65,78.48
07/22/2005,58.65,57.27,58.70,57.13,83.07
07/21/2005,57.13,58.15,58.17,56.50,106.24
07/20/2005,56.72,57.38,58.30,56.10,50.84
07/19/2005,57.46,57.25,57.77,56.80,85.89
07/18/2005,57.32,58.00,58.98,56.80,76.10
07/15/2005,58.09,57.87,58.90,57.33,107.14
07/14/2005,57.80,59.99,60.14,57.25,131.78
07/13/2005,60.01,60.55,61.30,59.80,113.30
07/12/2005,60.62,59.15,61.25,58.92,124.15
07/11/2005,58.92,59.40,59.50,58.02,111.54
07/08/2005,59.63,60.72,61.90,59.55,113.01
07/07/2005,60.73,61.28,62.10,57.20,133.52
07/06/2005,61.28,59.60,61.35,59.60,112.57
07/05/2005,59.59,58.89,60.10,58.80,90.51
07/01/2005,58.75,56.56,59.00,56.45,90.49
06/30/2005,56.50,57.23,57.80,55.90,157.69
06/29/2005,57.26,58.26,58.35,56.90,119.27
06/28/2005,58.20,60.44,60.47,57.90,113.65
06/27/2005,60.54,59.90,60.95,59.90,79.22
06/24/2005,59.84,59.40,60.00,59.17,86.11
06/23/2005,59.42,58.15,60.00,58.14,93.10
06/22/2005,58.09,58.92,59.55,57.85,106.89
06/21/2005,58.90,59.37,59.70,58.60,43.42
06/20/2005,59.37,58.51,59.52,58.10,63.57
06/17/2005,58.47,56.60,58.60,56.46,63.99
06/16/2005,56.58,55.51,56.90,55.12,85.98
06/15/2005,55.57,54.94,56.75,54.94,101.55
06/14/2005,55.00,55.55,55.80,54.83,96.78
06/13/2005,55.62,53.43,55.80,53.05,103.59
06/10/2005,53.54,54.41,54.95,53.35,105.66
06/09/2005,54.28,52.51,53.25,52.22,111.43
06/08/2005,52.54,53.84,55.00,52.45,128.02
06/07/2005,53.76,54.48,54.75,53.58,101.22
06/06/2005,54.49,55.20,55.55,53.90,85.86
06/03/2005,55.03,53.51,55.10,53.42,88.73
06/02/2005,53.63,54.54,55.40,53.50,126.02
06/01/2005,54.60,51.95,54.70,51.93,117.60
05/31/2005,51.97,51.98,52.05,50.90,91.94
05/27/2005,51.85,50.90,52.00,50.83,69.87
05/26/2005,51.01,50.95,51.70,50.65,92.36
05/25/2005,50.98,49.63,51.60,49.58,132.79
05/24/2005,49.67,49.15,49.94,48.92,87.03
05/23/2005,49.16,48.25,49.50,48.05,91.19
05/20/2005,46.80,46.95,47.57,46.20,42.14
05/19/2005,46.92,47.10,48.00,46.80,68.22
05/18/2005,47.25,48.90,49.35,47.00,92.15
05/17/2005,48.97,48.64,49.00,48.05,90.76
05/16/2005,48.61,48.67,48.70,47.60,78.19
05/13/2005,48.67,48.70,49.11,47.75,99.23
05/12/2005,48.54,50.41,50.42,48.30,129.13
05/11/2005,50.45,51.77,51.95,50.25,111.02
05/10/2005,52.07,52.00,53.10,51.65,119.61
05/09/2005,52.03,51.28,52.25,50.65,99.26
05/06/2005,50.96,50.97,52.23,50.25,143.89
05/05/2005,50.83,50.17,50.94,49.50,96.26
05/04/2005,50.13,49.52,50.95,48.80,133.69
05/03/2005,49.50,51.00,51.01,49.30,97.50
05/02/2005,50.92,49.28,50.99,49.03,98.52
04/29/2005,49.72,51.81,52.28,49.50,91.92
04/28/2005,51.77,51.56,51.89,49.80,128.06
04/27/2005,51.61,54.30,54.40,51.55,123.08
04/26/2005,54.20,54.34,54.40,53.35,100.87
04/25/2005,54.57,55.15,56.00,54.30,80.45
04/22/2005,55.39,54.23,55.90,54.20,113.29
04/21/2005,54.20,53.87,54.30,53.00,99.24
04/20/2005,52.44,52.19,53.10,52.00,27.62
04/19/2005,52.29,50.30,52.35,50.30,59.95
04/18/2005,50.37,50.43,51.20,49.66,70.86
04/15/2005,50.49,51.05,51.28,50.00,102.52
04/14/2005,51.13,50.30,51.40,49.75,108.28
04/13/2005,50.22,51.77,51.77,50.06,134.52
04/12/2005,51.86,53.80,54.05,51.75,129.49
04/11/2005,53.71,53.26,53.85,52.10,97.93
04/08/2005,53.32,54.12,54.20,52.70,122.49
04/07/2005,54.11,55.78,56.84,53.77,132.88
04/06/2005,55.85,55.99,56.90,55.30,94.46
04/05/2005,56.04,56.96,57.20,56.00,84.12
04/04/2005,57.01,57.15,58.28,56.60,88.35
04/01/2005,57.27,55.25,57.70,54.96,113.00
03/31/2005,55.40,54.03,56.10,53.93,114.76
03/30/2005,53.99,54.28,54.46,52.50,122.51
03/29/2005,54.23,53.90,54.50,53.45,72.90
03/28/2005,54.05,54.44,54.65,53.60,59.67
03/24/2005,54.84,54.12,54.90,53.48,90.49
03/23/2005,53.81,55.93,55.93,53.40,158.70
03/22/2005,56.03,57.36,57.58,55.69,93.38
03/21/2005,56.62,56.68,57.12,56.20,39.56
03/18/2005,56.72,56.29,57.00,55.95,59.75
03/17/2005,56.40,56.45,57.60,56.15,68.56
03/16/2005,56.46,55.00,56.60,54.40,93.53
03/15/2005,55.05,54.90,55.45,54.25,89.78
03/14/2005,54.95,54.45,55.05,53.52,88.00
03/11/2005,54.43,53.60,54.60,52.50,112.32
03/10/2005,53.54,54.54,54.62,52.90,114.00
03/09/2005,54.77,54.54,55.65,54.16,121.57
03/08/2005,54.59,53.87,55.15,53.26,101.55
03/07/2005,53.89,53.56,53.95,52.91,90.23
03/04/2005,53.78,53.60,54.00,52.90,82.92
03/03/2005,53.57,53.04,55.20,52.85,147.32
03/02/2005,53.05,51.70,53.09,51.45,107.98
03/01/2005,51.68,51.77,51.85,50.65,91.60
02/28/2005,51.75,51.80,52.28,51.10,77.73
02/25/2005,51.49,51.45,51.90,50.95,74.34
02/24/2005,51.39,51.21,52.05,50.46,114.19
02/23/2005,51.17,51.20,51.60,50.86,88.11
02/22/2005,51.15,48.37,51.40,48.37,37.93
02/18/2005,48.35,47.60,48.50,47.52,42.68
02/17/2005,47.54,48.32,48.65,47.40,66.21
02/16/2005,48.33,47.28,48.65,46.95,94.71
02/15/2005,47.26,47.34,47.80,47.10,68.24
02/14/2005,47.44,47.05,47.75,46.60,76.76
02/11/2005,47.16,46.97,47.48,46.75,83.65
02/10/2005,47.10,45.54,47.30,45.42,107.52
02/09/2005,45.46,45.45,46.40,44.60,139.77
02/08/2005,45.40,45.40,45.70,44.78,99.80
02/07/2005,45.28,46.32,46.47,45.10,103.69
02/04/2005,46.48,46.50,47.25,46.25,75.97
02/03/2005,46.45,46.57,46.73,45.75,70.14
02/02/2005,46.69,47.19,47.55,46.45,85.11
02/01/2005,47.12,48.21,48.24,47.05,83.50
01/31/2005,48.20,46.68,48.25,46.01,107.50
01/28/2005,47.18,48.84,48.85,46.80,106.86
01/27/2005,48.84,49.03,49.65,48.60,85.86
01/26/2005,48.78,49.51,49.74,47.90,115.70
01/25/2005,49.64,48.82,49.75,48.35,77.80
01/24/2005,48.81,48.88,49.24,47.80,82.90